2001_artist;2001_album;2002_artist;2002_album;2003_artist;2003_album;2006_artist;2006_album;2009_artist;2009_album;2010_artist;2010_album;2011_artist;2011_album;2012_artist;2012_album;2013_artist;2013_album;2014_artist;2014_album;2015_artist;2015_album;2016_artist;2016_album;2017_artist;2017_album;2018_artist;2018_album;2020_artist;2020_album;2021_artist;2021_album;2023_artist;2023_album
billy joel;greatest hits, vols. 1 & 2 (1973 - 1985);jimi hendrix;are you experienced?;bob dylan;highway 61 revisited;bob dylan;bringing it all back home;john coltrane;a love supreme;the beatles;the beatles;john coltrane;a love supreme;miles davis;kind of blue;bob dylan;highway 61 revisited;my bloody valentine;loveless;miles davis;kind of blue;miles davis;kind of blue;miles davis;kind of blue;miles davis;kind of blue;kendrick lamar;to pimp a butterfly;the beatles;revolver;the beatles;abbey road
nirvana;mtv unplugged in new york;the velvet underground;the velvet underground;jimi hendrix;are you experienced?;bob dylan;blonde on blonde;the beatles;sgt. pepper's lonely hearts club band;john coltrane;a love supreme;king crimson;in the court of the crimson king;king crimson;in the court of the crimson king;my bloody valentine;loveless;bob dylan;highway 61 revisited;bob dylan;highway 61 revisited;the beach boys;pet sounds;the beach boys;pet sounds;led zeppelin;led zeppelin [iv];the beatles;revolver;mingus;the black saint and the sinner lady;david bowie;the rise and fall of ziggy stardust and the spiders from mars
the beatles;magical mystery tour;the velvet underground;the velvet underground & nico;elvis costello;this year's model;charles mingus;the black saint and the sinner lady;mingus;the black saint and the sinner lady;led zeppelin;led zeppelin [iv];led zeppelin;led zeppelin [iv];david bowie;the rise and fall of ziggy stardust and the spiders from mars;john coltrane;a love supreme;david bowie;the rise and fall of ziggy stardust and the spiders from mars;black sabbath;paranoid;david bowie;the rise and fall of ziggy stardust and the spiders from mars;david bowie;the rise and fall of ziggy stardust and the spiders from mars;black sabbath;paranoid;talking heads;remain in light;talking heads;remain in light;talking heads;remain in light
the beatles;help!;bob dylan;highway 61 revisited;joy division;closer;david bowie;the rise and fall of ziggy stardust and the spiders from mars;bob dylan;bringing it all back home;king crimson;in the court of the crimson king;the beatles;the beatles;the beatles;the beatles;david bowie;the rise and fall of ziggy stardust and the spiders from mars;black sabbath;paranoid;pixies;doolittle;black sabbath;paranoid;black sabbath;paranoid;david bowie;the rise and fall of ziggy stardust and the spiders from mars;john coltrane;a love supreme;madvillain;madvillainy;mingus;the black saint and the sinner lady
pink floyd;the wall;rolling stones;exile on main street;nick drake;pink moon;pink floyd;wish you were here;bob dylan;blonde on blonde;charles mingus;the black saint and the sinner lady;charles mingus;the black saint and the sinner lady;john coltrane;a love supreme;the beatles;sgt. pepper's lonely hearts club band;pixies;doolittle;the beach boys;pet sounds;bob dylan;highway 61 revisited;pixies;doolittle;neutral milk hotel;in the aeroplane over the sea;black sabbath;paranoid;john coltrane;a love supreme;the velvet underground &;the velvet underground & nico
the beatles;rubber soul;rolling stones;let it bleed;the band;the band;jimi hendrix;are you experienced;led zeppelin;led zeppelin [iv];bob dylan;bringing it all back home;radiohead;kid a;joy division;unknown pleasures;pixies;doolittle;the beach boys;pet sounds;david bowie;the rise and fall of ziggy stardust and the spiders from mars;pixies;doolittle;john coltrane;a love supreme;radiohead;in rainbows;miles davis;kind of blue;radiohead;in rainbows;the beatles;revolver
jimi hendrix;experience hendrix;love;forever changes;richard & linda thompson;i want to see the bright lights tonight;led zeppelin;led zeppelin iv;the jimi hendrix experience;are you experienced;bob dylan;blonde on blonde;bob dylan;blonde on blonde;black sabbath;paranoid;black sabbath;paranoid;john coltrane;a love supreme;john coltrane;a love supreme;john coltrane;a love supreme;bob dylan;highway 61 revisited;godspeed you black emperor!;lift yr. skinny fists like antennas to heaven!;radiohead;in rainbows;fishmans;98.12.28 男達の別れ (98.12.28 otokotachi no wakare);john coltrane;a love supreme
the jam;all mod cons;jimi hendrix;axis - bold as love;the velvet underground;the velvet underground & nico;the who;who's next;bob dylan;blood on the tracks;jimi hendrix;are you experienced;joy division;unknown pleasures;the clash;london calling;the beach boys;pet sounds;the beatles;sgt. pepper's lonely hearts club band;the beatles;sgt. pepper's lonely hearts club band;the beatles;sgt. pepper's lonely hearts club band;neutral milk hotel;in the aeroplane over the sea;pixies;doolittle;the beach boys;pet sounds;kendrick lamar;good kid, m.a.a.d city;nas;illmatic
the  sex pistols;never mind the bollocks here's the sex pistols;the doors;the doors;charles mingus;mingus ah um;miles davis;in a silent way;king crimson;in the court of the crimson king;bob dylan;blood on the tracks;jimi hendrix;are you experienced;my bloody valentine;loveless;joy division;unknown pleasures;the doors;the doors;the doors;the doors;the doors;the doors;joy division;unknown pleasures;john coltrane;a love supreme;kendrick lamar;good kid, m.a.a.d city;black sabbath;paranoid;black sabbath;paranoid
eve;let there be eve....ruff ryders first lady;the stone roses;the stone roses;miles davis;kind of blue;the clash;london calling;the clash;london calling;pixies;doolittle;pixies;doolittle;pixies;doolittle;the clash;london calling;joy division;unknown pleasures;joy division;unknown pleasures;joy division;unknown pleasures;the doors;the doors;joy division;unknown pleasures;madvillain;madvillainy;miles davis;kind of blue;godspeed you black emperor!;lift yr. skinny fists like antennas to heaven!
sublime;sublime;nick drake;pink moon;the pixies;doolittle;jimi hendrix;electric ladyland;television;marquee moon;joy division;unknown pleasures;bob dylan;bringing it all back home;the beatles;rubber soul;the beatles;the beatles;the clash;london calling;the clash;london calling;nick drake;pink moon;nick drake;pink moon;talking heads;remain in light;neutral milk hotel;in the aeroplane over the sea;the beach boys;pet sounds;miles davis;kind of blue
limp bizkit;rolling;the pixies;doolittle;the velvet underground;the velvet underground;the beatles;rubber soul;bob dylan;the bootleg series vol. 4: live;the beatles;rubber soul;bob dylan;blood on the tracks;the doors;the doors;the doors;the doors;the beatles;the beatles;the smiths;the queen is dead;the smiths;the queen is dead;the beatles;sgt. pepper's lonely hearts club band;nick drake;pink moon;nas;illmatic;neutral milk hotel;in the aeroplane over the sea;the beach boys;pet sounds
metallica;metallica;miles davis;in a silent way;wire;pink flag;neutral milk hotel;in the aeroplane over the sea;pixies;doolittle;television;marquee moon;the beatles;rubber soul;jimi hendrix;are you experienced;the smiths;the queen is dead;the smiths;the queen is dead;nick drake;pink moon;neutral milk hotel;in the aeroplane over the sea;godspeed you! black emperor;lift yr. skinny fists like antennas to heaven!;the doors;the doors;godspeed you black emperor!;lift yr. skinny fists like antennas to heaven!;nas;illmatic;wu-tang clan;enter the wu-tang (36 chambers)
the doors;greatest hits;nick drake;five leaves left;charles mingus;the black saint and the sinner lady;television;marquee moon;joy division;unknown pleasures;radiohead;kid a;black sabbath;paranoid;bob dylan;blonde on blonde;bob dylan;blonde on blonde;nick drake;pink moon;the beatles;the beatles;the clash;london calling;the smiths;the queen is dead;the smiths;the queen is dead;wu-tang clan;enter the wu-tang (36 chambers);godspeed you black emperor!;lift yr. skinny fists like antennas to heaven!;the cure;disintegration
counting crows;august and everything after;sigur rós;ágætis byrjun;nick drake;five leaves left;the kinks;the kinks are the village green preservation society;nick drake;pink moon;nick drake;pink moon;the clash;london calling;television;marquee moon;jimi hendrix;are you experienced;bob dylan;blonde on blonde;neutral milk hotel;in the aeroplane over the sea;godspeed you! black emperor;lift yr. skinny fists like antennas to heaven!;talking heads;remain in light;bob dylan;highway 61 revisited;the beatles;sgt. pepper's lonely hearts club band;the beatles;sgt. pepper's lonely hearts club band;king crimson;red
oasis;(what's the story) morning glory;the who;who's next;the who;who's next;pixies;doolittle;the beatles;rubber soul;the clash;london calling;television;marquee moon;nick drake;pink moon;nick drake;pink moon;talking heads;remain in light;bob dylan;blonde on blonde;television;marquee moon;television;marquee moon;pink floyd;animals;king crimson;red;wu-tang clan;enter the wu-tang (36 chambers);slint;spiderland
belle and sebastian;if you're feeling sinister;pink floyd;dark side of the moon;jimi hendrix;electric ladyland;john coltrane;giant steps;the doors;the doors;the smiths;the queen is dead;nick drake;pink moon;charles mingus;the black saint and the sinner lady;charles mingus;the black saint and the sinner lady;the jimi hendrix experience;are you experienced;charles mingus;the black saint and the sinner lady;the beatles;the beatles;pink floyd;animals;the beatles;sgt. pepper's lonely hearts club band;nick drake;pink moon;king crimson;red;neutral milk hotel;in the aeroplane over the sea
john lennon;imagine;sonic youth;daydream nation;bob dylan;bringing it all back home;the smiths;the queen is dead;the smiths;the queen is dead;the doors;the doors;the doors;the doors;the smiths;the queen is dead;television;marquee moon;charles mingus;the black saint and the sinner lady;the jimi hendrix experience;are you experienced;talking heads;remain in light;arcade fire;funeral;arcade fire;funeral;bob dylan;highway 61 revisited;nick drake;pink moon;kanye west;my beautiful dark twisted fantasy
simon & garfunkel;greatest hits;brian eno and david byrne;my life in the bush of ghosts;robert wyatt;rock bottom;nas;illmatic;my bloody valentine;loveless;my bloody valentine;loveless;my bloody valentine;loveless;joy division;closer;talking heads;remain in light;television;marquee moon;arcade fire;funeral;charles mingus;the black saint and the sinner lady;the beatles;the beatles;kendrick lamar;to pimp a butterfly;slint;spiderland;slint;spiderland;pink floyd;animals
the who;my generation;the ramones;rocket to russia;public image ltd.;metal box;stevie wonder;innervisions;the jimi hendrix experience;electric ladyland;the beach boys;pet sounds;the smiths;the queen is dead;the beach boys;pet sounds;bob dylan;blood on the tracks;arcade fire;funeral;godspeed you black emperor!;lift yr. skinny fists like antennas to heaven!;arcade fire;funeral;mingus;the black saint and the sinner lady;david bowie;low;the smiths;the queen is dead;the beatles;the beatles;nick drake;pink moon
counting crows;recovering the satellites;joy division;closer;the ramones;the ramones;wu-tang clan;enter the wu-tang (36 chambers);radiohead;kid a;bob dylan;the bootleg series vol. 4: live;the beach boys;pet sounds;bob dylan;blood on the tracks;the beatles;rubber soul;pink floyd;animals;television;marquee moon;pink floyd;animals;the clash;london calling;nirvana;nevermind;joy division;unknown pleasures;joy division;unknown pleasures;björk;vespertine
the beach boys;pet sounds;jimi hendrix;electric ladyland;queensryche;ope;the beatles;sgt. pepper's lonely hearts club band;neil young;after the gold rush;black sabbath;paranoid;joy division;closer;bob dylan;bringing it all back home;bob dylan;bringing it all back home;bob dylan;blood on the tracks;pink floyd;animals;bob dylan;blonde on blonde;david bowie;low;nas;illmatic;the beatles;the beatles;the cure;disintegration;the beatles;sgt. pepper's lonely hearts club band
u;the joshua tree;neil young;after the gold rush;iron maiden;live after death;metallica;master of puppets;joy division;closer;joy division;closer;neil young;after the gold rush;talking heads;remain in light;joy division;closer;joy division;closer;talking heads;remain in light;the jimi hendrix experience;are you experienced;radiohead;in rainbows;wu-tang clan;enter the wu-tang (36 chambers);pixies;doolittle;the smiths;the queen is dead;fishmans;long season
doors down;better life;prince;sign 'o' the times;tom waits;rain dogs;nick drake;pink moon;black sabbath;paranoid;jimi hendrix;electric ladyland;jimi hendrix;electric ladyland;arcade fire;funeral;arcade fire;funeral;neutral milk hotel;in the aeroplane over the sea;joy division;closer;nirvana;nevermind;bob dylan;blonde on blonde;kanye west;my beautiful dark twisted fantasy;the cure;disintegration;bob dylan;highway 61 revisited;joy division;unknown pleasures
limp bizkit;significent other;john lennon;plastic ono band;miles davis;in a silent way;the zombies;odessey & oracle;the beach boys;pet sounds;neil young;after the gold rush;talking heads;remain in light;neil young;after the gold rush;pink floyd;animals;the beatles;rubber soul;the beatles;rubber soul;joy division;closer;nirvana;nevermind;television;marquee moon;miles davis;in a silent way;kanye west;my beautiful dark twisted fantasy;miles davis;in a silent way
guns n roses;appetite for destruction;rolling stones;sticky fingers;bob dylan;liv;the rolling stones;sticky fingers;leonard cohen;songs of leonard cohen;leonard cohen;songs of leonard cohen;leonard cohen;songs of leonard cohen;jimi hendrix;electric ladyland;neutral milk hotel;in the aeroplane over the sea;bob dylan;bringing it all back home;sonic youth;daydream nation;sonic youth;daydream nation;the jimi hendrix experience;are you experienced;mingus;the black saint and the sinner lady;pink floyd;animals;pink floyd;animals;the smiths;the queen is dead
counting crows;this desert life;kmfdm;nihil;the doobie brothers;the captain and me;tom waits;rain dogs;the kinks;the kinks are the village green preservation society;talking heads;remain in light;bob dylan;the bootleg series vol. 4: live;led zeppelin;led zeppelin;sonic youth;daydream nation;godspeed you black emperor!;lift yr. skinny fists like antennas to heaven!;bob dylan;blood on the tracks;david bowie;low;wu;tang;kendrick lamar;good kid, m.a.a.d city;led zeppelin;led zeppelin [iv];pixies;doolittle;the beatles;the beatles
paul simon;graceland;bob dylan;liv;leonard cohen;songs of love and hate;slayer;reign in blood;talking heads;remain in light;tom waits;rain dogs;tom waits;rain dogs;tom waits;rain dogs;neil young;after the gold rush;sonic youth;daydream nation;nirvana;nevermind;bob dylan;blood on the tracks;joy division;closer;king crimson;red;kanye west;my beautiful dark twisted fantasy;led zeppelin;led zeppelin [iv];portishead;dummy
simon & garfunkel;bookends;rush;hemispheres;public enemy;it takes a nation of millions to hold us back;van morrison;astral weeks;the who;who's next;the kinks;the kinks are the village green preservation society;sonic youth;daydream nation;sonic youth;daydream nation;godspeed you! black emperor;lift yr. skinny fists like antennas to heaven!;neil young;after the gold rush;led zeppelin;led zeppelin;wu;tang;sonic youth;daydream nation;joy division;closer;television;marquee moon;miles davis;in a silent way;kate bush;hounds of love
the beastie boys;licensed to 'ill;radiohead;ok computer;the ramones;rocket to russia;eric dolphy;out to lunch;tom waits;rain dogs;the who;who's next;king crimson;red;pink floyd;animals;led zeppelin;led zeppelin;led zeppelin;led zeppelin;metallica;master of puppets;king crimson;red;king crimson;red;the beatles;the beatles;bob dylan;blonde on blonde;david bowie;low;stevie wonder;songs in the key of life
